timestamp,course_url,title,headline,is_bestseller,rating,num_reviews,num_students,instructor,language,price,discount,related_topics,sections,lectures,total_length
2025-10-06 19:36:49,https://www.udemy.com/course/machinelearning/,"Machine Learning A-Z: AI, Python & R + ChatGPT Prize [2025]",Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,Yes,4.5,"200,080","1,159,767",Kirill,English,369000.0,81%,"Machine Learning, Data Science, Development",46.0,386.0,42h 44m
2025-10-06 19:37:05,https://www.udemy.com/course/complete-machine-learning-nlp-bootcamp-mlops-deployment/,"Complete Data Science,Machine Learning,DL,NLP Bootcamp","Master the theory, practice,and math behind Data Science,Machine Learning,Deep Learning,NLP with end to end projects",Yes,4.5,"2,700","107,821",Krish,English,349000.0,78%,"Data Science, Other IT & Software, IT & Software",63.0,429.0,99h 10m
2025-10-06 19:37:19,https://www.udemy.com/course/complete-machine-learning-and-data-science-zero-to-mastery/,"Complete A.I. & Machine Learning, Data Science Bootcamp","Learn Data Science, Data Analysis, Machine Learning (Artificial Intelligence) and Python with Tensorflow, Pandas & more!",No,4.6,"28,660","153,392",Andrei,English,339000.0,82%,"Data Science, Development",21.0,384.0,44h 0m
2025-10-06 19:38:12,https://www.udemy.com/course/machine-learning-data-science-foundations-masterclass/,Mathematical Foundations of Machine Learning,"Essential Linear Algebra and Calculus Hands-On in NumPy, TensorFlow, and PyTorch",Yes,4.6,"7,816","137,461",Dr,English,389000.0,82%,"Math, Data Science, Development",11.0,114.0,16h 25m
2025-10-06 19:38:54,https://www.udemy.com/course/machine-learning-for-absolute-beginners-level-1/,Machine Learning for Absolute Beginners - Level 1,Learn the Fundamental Concepts of Artificial Intelligence and Machine Learning as the Next Game-Changing Technology,No,4.5,"29,071","115,825",Idan,English,339000.0,24%,"Machine Learning, Data Science, Development",8.0,59.0,4h 27m
2025-10-06 19:39:15,https://www.udemy.com/course/data-science-and-machine-learning-fundamentals-one/,Data Science and Machine Learning Fundamentals [2025],Learn to master Data Science and Machine Learning Fundamentals with Python and Pandas,Yes,4.8,964,"4,605",Henrik,English,319000.0,26%,"Machine Learning, Data Science, Development",8.0,103.0,57h 39m
2025-10-06 19:39:39,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,Python for Data Science and Machine Learning Bootcamp,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",Yes,4.6,"154,246","785,896",Jose,English,389000.0,80%,"Python, Data Science, Machine Learning, Development",27.0,165.0,24h 54m
2025-10-06 19:40:01,https://www.udemy.com/course/data-science-ai-masters-from-python-to-gen-ai/,Data Science & AI Masters 2025 - From Python To Gen AI,"Master Data Science and AI: Learn Python, EDA, Stats, SQL, Machine Learning, NLP, Deep Learning and Gen AI",Yes,4.4,"2,397","17,884",Dr.,English,319000.0,75%,"Artificial Intelligence (AI), Industry, Business",19.0,519.0,98h 14m
2025-10-06 19:40:27,https://www.udemy.com/course/aws-certified-machine-learning-engineer-associate-mla-c01/,AWS Certified Machine Learning Engineer Associate: Hands On!,"Practice exam included! Master MLA-C01 / ME1-C01 AWS Machine Learning Engineer Exam: SageMaker, Bedrock, and AI Skills.",Yes,4.6,611,"35,576",Sundog,English,319000.0,76%,"AWS Certified Machine Learning Engineer - Associate, IT Certifications, IT & Software",14.0,296.0,23h 26m
2025-10-06 19:41:21,https://www.udemy.com/course/data-science-and-machine-learning-with-python-hands-on/,"Machine Learning, Data Science & AI Engineering with Python","Complete hands-on deep learning, AI engineering and Generative AI tutorial with data science, Tensorflow, GPT, OpenAI",No,4.5,816,"236,489",Sundog,English,419000.0,81%,"Data Science, Machine Learning, Development",17.0,151.0,21h 8m
